,Domain,Type,TLD Manager
0,.aaa,generic,"American Automobile Association, Inc."
1,.aarp,generic,AARP
2,.abarth,generic,Fiat Chrysler Automobiles N.V.
3,.abb,generic,ABB Ltd
4,.abbott,generic,"Abbott Laboratories, Inc."
5,.abbvie,generic,AbbVie Inc.
6,.abc,generic,"Disney Enterprises, Inc."
7,.able,generic,Able Inc.
8,.abogado,generic,"Registry Services, LLC"
9,.abudhabi,generic,Abu Dhabi Systems and Information Centre
10,.ac,country-code,Internet Computer Bureau Limited
11,.academy,generic,"Binky Moon, LLC"
12,.accenture,generic,Accenture plc
13,.accountant,generic,dot Accountant Limited
14,.accountants,generic,"Binky Moon, LLC"
15,.aco,generic,ACO Severin Ahlmann GmbH & Co. KG
16,.active,generic,Not assigned
17,.actor,generic,"Dog Beach, LLC"
18,.ad,country-code,Andorra Telecom
19,.adac,generic,Allgemeiner Deutscher Automobil-Club e.V. (ADAC)
20,.ads,generic,Charleston Road Registry Inc.
21,.adult,generic,ICM Registry AD LLC
22,.ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA)
23,.aeg,generic,Aktiebolaget Electrolux
24,.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
25,.aetna,generic,Aetna Life Insurance Company
26,.af,country-code,Ministry of Communications and IT
27,.afamilycompany,generic,Not assigned
28,.afl,generic,Australian Football League
29,.africa,generic,ZA Central Registry NPC trading as Registry.Africa
30,.ag,country-code,UHSA School of Medicine
31,.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation)
32,.agency,generic,"Binky Moon, LLC"
33,.ai,country-code,Government of Anguilla
34,.aig,generic,"American International Group, Inc."
35,.aigo,generic,Not assigned
36,.airbus,generic,Airbus S.A.S.
37,.airforce,generic,"Dog Beach, LLC"
38,.airtel,generic,Bharti Airtel Limited
39,.akdn,generic,Fondation Aga Khan (Aga Khan Foundation)
40,.al,country-code,Electronic and Postal Communications Authority - AKEP
41,.alfaromeo,generic,Fiat Chrysler Automobiles N.V.
42,.alibaba,generic,Alibaba Group Holding Limited
43,.alipay,generic,Alibaba Group Holding Limited
44,.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
45,.allstate,generic,Allstate Fire and Casualty Insurance Company
46,.ally,generic,Ally Financial Inc.
47,.alsace,generic,REGION GRAND EST
48,.alstom,generic,ALSTOM
49,.am,country-code,"""Internet Society"" Non-governmental Organization"
50,.amazon,generic,"Amazon Registry Services, Inc."
51,.americanexpress,generic,"American Express Travel Related Services Company, Inc."
52,.americanfamily,generic,"AmFam, Inc."
