,index,type_etld,tld,punycode,suffix,manager_etld,type_tld,manager_tld,type
0,0.0,icann,ac,ac,ac,ac,country-code,Internet Computer Bureau Limited,country-code
1,1.0,icann,ac,ac,com.ac,ac,country-code,Internet Computer Bureau Limited,country-code
2,2.0,icann,ac,ac,edu.ac,ac,country-code,Internet Computer Bureau Limited,country-code
3,3.0,icann,ac,ac,gov.ac,ac,country-code,Internet Computer Bureau Limited,country-code
4,4.0,icann,ac,ac,net.ac,ac,country-code,Internet Computer Bureau Limited,country-code
5,5.0,icann,ac,ac,mil.ac,ac,country-code,Internet Computer Bureau Limited,country-code
6,6.0,icann,ac,ac,org.ac,ac,country-code,Internet Computer Bureau Limited,country-code
7,7500.0,private-domains,ac,ac,drr.ac,Carrd,country-code,Internet Computer Bureau Limited,private-domains
8,7.0,icann,ad,ad,ad,ad,country-code,Andorra Telecom,country-code
9,8.0,icann,ad,ad,nom.ad,ad,country-code,Andorra Telecom,country-code
10,9.0,icann,ae,ae,ae,ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),country-code
11,10.0,icann,ae,ae,co.ae,ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),country-code
12,11.0,icann,ae,ae,net.ae,ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),country-code
13,12.0,icann,ae,ae,org.ae,ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),country-code
14,13.0,icann,ae,ae,sch.ae,ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),country-code
15,14.0,icann,ae,ae,ac.ae,ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),country-code
16,15.0,icann,ae,ae,gov.ae,ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),country-code
17,16.0,icann,ae,ae,mil.ae,ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),country-code
18,8252.0,private-domains,ae,ae,blogspot.ae,GoIP DNS Services,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),private-domains
19,17.0,icann,aero,aero,aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
20,18.0,icann,aero,aero,accident-investigation.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
21,19.0,icann,aero,aero,accident-prevention.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
22,20.0,icann,aero,aero,aerobatic.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
23,21.0,icann,aero,aero,aeroclub.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
24,22.0,icann,aero,aero,aerodrome.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
25,23.0,icann,aero,aero,agents.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
26,24.0,icann,aero,aero,aircraft.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
27,25.0,icann,aero,aero,airline.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
28,26.0,icann,aero,aero,airport.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
29,27.0,icann,aero,aero,air-surveillance.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
30,28.0,icann,aero,aero,airtraffic.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
31,29.0,icann,aero,aero,air-traffic-control.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
32,30.0,icann,aero,aero,ambulance.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
33,31.0,icann,aero,aero,amusement.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
34,32.0,icann,aero,aero,association.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
35,33.0,icann,aero,aero,author.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
36,34.0,icann,aero,aero,ballooning.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
37,35.0,icann,aero,aero,broker.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
38,36.0,icann,aero,aero,caa.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
39,37.0,icann,aero,aero,cargo.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
40,38.0,icann,aero,aero,catering.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
41,39.0,icann,aero,aero,certification.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
42,40.0,icann,aero,aero,championship.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
43,41.0,icann,aero,aero,charter.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
44,42.0,icann,aero,aero,civilaviation.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
45,43.0,icann,aero,aero,club.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
46,44.0,icann,aero,aero,conference.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
47,45.0,icann,aero,aero,consultant.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
48,46.0,icann,aero,aero,consulting.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
49,47.0,icann,aero,aero,control.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
50,48.0,icann,aero,aero,council.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
51,49.0,icann,aero,aero,crew.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
52,50.0,icann,aero,aero,design.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
53,51.0,icann,aero,aero,dgca.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
54,52.0,icann,aero,aero,educator.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
55,53.0,icann,aero,aero,emergency.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
56,54.0,icann,aero,aero,engine.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
57,55.0,icann,aero,aero,engineer.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
58,56.0,icann,aero,aero,entertainment.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
59,57.0,icann,aero,aero,equipment.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
60,58.0,icann,aero,aero,exchange.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
61,59.0,icann,aero,aero,express.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
62,60.0,icann,aero,aero,federation.aero,aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),sponsored
