,id,suffix,tld,punycode,origin,type,tld type,suffix type,tld manager,psl comment,code
0,0,ac,ac,,both,country-code,country-code,icann,Internet Computer Bureau Limited,ac,b00000cc0
1,1,com.ac,ac,,merged,country-code,country-code,icann,Internet Computer Bureau Limited,ac,m00001cc1
2,2,edu.ac,ac,,merged,country-code,country-code,icann,Internet Computer Bureau Limited,ac,m00002cc1
3,3,gov.ac,ac,,merged,country-code,country-code,icann,Internet Computer Bureau Limited,ac,m00003cc1
4,4,net.ac,ac,,merged,country-code,country-code,icann,Internet Computer Bureau Limited,ac,m00004cc1
5,5,mil.ac,ac,,merged,country-code,country-code,icann,Internet Computer Bureau Limited,ac,m00005cc1
6,6,org.ac,ac,,merged,country-code,country-code,icann,Internet Computer Bureau Limited,ac,m00006cc1
7,7,drr.ac,ac,,merged,private-domains,country-code,private-domains,Internet Computer Bureau Limited,Carrd,m00007pd1
8,8,ad,ad,,both,country-code,country-code,icann,Andorra Telecom,ad,b00008cc0
9,9,nom.ad,ad,,merged,country-code,country-code,icann,Andorra Telecom,ad,m00009cc1
10,10,ae,ae,,both,country-code,country-code,icann,Telecommunications and Digital Government Regulatory Authority (TDRA),ae,b00010cc0
11,11,co.ae,ae,,merged,country-code,country-code,icann,Telecommunications and Digital Government Regulatory Authority (TDRA),ae,m00011cc1
12,12,net.ae,ae,,merged,country-code,country-code,icann,Telecommunications and Digital Government Regulatory Authority (TDRA),ae,m00012cc1
13,13,org.ae,ae,,merged,country-code,country-code,icann,Telecommunications and Digital Government Regulatory Authority (TDRA),ae,m00013cc1
14,14,sch.ae,ae,,merged,country-code,country-code,icann,Telecommunications and Digital Government Regulatory Authority (TDRA),ae,m00014cc1
15,15,ac.ae,ae,,merged,country-code,country-code,icann,Telecommunications and Digital Government Regulatory Authority (TDRA),ae,m00015cc1
16,16,gov.ae,ae,,merged,country-code,country-code,icann,Telecommunications and Digital Government Regulatory Authority (TDRA),ae,m00016cc1
17,17,mil.ae,ae,,merged,country-code,country-code,icann,Telecommunications and Digital Government Regulatory Authority (TDRA),ae,m00017cc1
18,18,blogspot.ae,ae,,merged,private-domains,country-code,private-domains,Telecommunications and Digital Government Regulatory Authority (TDRA),GoIP DNS Services,m00018pd1
19,19,aero,aero,,both,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,b00019sp0
20,20,accident-investigation.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00020sp1
21,21,accident-prevention.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00021sp1
22,22,aerobatic.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00022sp1
23,23,aeroclub.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00023sp1
24,24,aerodrome.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00024sp1
25,25,agents.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00025sp1
