,suffix,tld,punycode_tld,punycode_etld,from_psl,from_iana,type,type_tld,type_etld,manager_etld,manager_tld
0,ac,ac,,,True,True,country-code,country-code,icann,ac,Internet Computer Bureau Limited
1,com.ac,ac,,,True,True,country-code,country-code,icann,ac,Internet Computer Bureau Limited
2,edu.ac,ac,,,True,True,country-code,country-code,icann,ac,Internet Computer Bureau Limited
3,gov.ac,ac,,,True,True,country-code,country-code,icann,ac,Internet Computer Bureau Limited
4,net.ac,ac,,,True,True,country-code,country-code,icann,ac,Internet Computer Bureau Limited
5,mil.ac,ac,,,True,True,country-code,country-code,icann,ac,Internet Computer Bureau Limited
6,org.ac,ac,,,True,True,country-code,country-code,icann,ac,Internet Computer Bureau Limited
7,drr.ac,ac,,,True,True,private-domains,country-code,private-domains,Carrd,Internet Computer Bureau Limited
8,ad,ad,,,True,True,country-code,country-code,icann,ad,Andorra Telecom
9,nom.ad,ad,,,True,True,country-code,country-code,icann,ad,Andorra Telecom
10,ae,ae,,,True,True,country-code,country-code,icann,ae,Telecommunications and Digital Government Regulatory Authority (TDRA)
11,co.ae,ae,,,True,True,country-code,country-code,icann,ae,Telecommunications and Digital Government Regulatory Authority (TDRA)
12,net.ae,ae,,,True,True,country-code,country-code,icann,ae,Telecommunications and Digital Government Regulatory Authority (TDRA)
13,org.ae,ae,,,True,True,country-code,country-code,icann,ae,Telecommunications and Digital Government Regulatory Authority (TDRA)
14,sch.ae,ae,,,True,True,country-code,country-code,icann,ae,Telecommunications and Digital Government Regulatory Authority (TDRA)
15,ac.ae,ae,,,True,True,country-code,country-code,icann,ae,Telecommunications and Digital Government Regulatory Authority (TDRA)
16,gov.ae,ae,,,True,True,country-code,country-code,icann,ae,Telecommunications and Digital Government Regulatory Authority (TDRA)
17,mil.ae,ae,,,True,True,country-code,country-code,icann,ae,Telecommunications and Digital Government Regulatory Authority (TDRA)
18,blogspot.ae,ae,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,Telecommunications and Digital Government Regulatory Authority (TDRA)
19,aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
20,accident-investigation.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
21,accident-prevention.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
22,aerobatic.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
23,aeroclub.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
24,aerodrome.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
25,agents.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
26,aircraft.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
27,airline.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
28,airport.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
29,air-surveillance.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
30,airtraffic.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
31,air-traffic-control.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
32,ambulance.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
33,amusement.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
34,association.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
35,author.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
36,ballooning.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
37,broker.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
38,caa.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
39,cargo.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
