,TLD,Type,Punycode,Language Code,Translation,Romanized,RTL,Sponsor
0,aaa,gTLD,,,,,no,"American Automobile Association, Inc."
1,aarp,gTLD,,,,,no,AARP
2,abarth,gTLD,,,,,no,Fiat Chrysler Automobiles N.V.
3,abb,gTLD,,,,,no,ABB Ltd
4,abbott,gTLD,,,,,no,"Abbott Laboratories, Inc."
5,abbvie,gTLD,,,,,no,AbbVie Inc.
6,abc,gTLD,,,,,no,"Disney Enterprises, Inc."
7,able,gTLD,,,,,no,Able Inc.
8,abogado,gTLD,,,lawyer,,no,Minds + Machines Group Limited
9,abudhabi,gTLD,,,,,no,Abu Dhabi Systems and Information Centre
10,ac,ccTLD,,,,,no,Internet Computer Bureau Limited
11,academy,gTLD,,,,,no,"Binky Moon, LLC"
12,accenture,gTLD,,,,,no,Accenture plc
13,accountant,gTLD,,,,,no,dot Accountant Limited
14,accountants,gTLD,,,,,no,"Binky Moon, LLC"
15,aco,gTLD,,,,,no,ACO Severin Ahlmann GmbH & Co. KG
16,active,gTLD,,,,,no,Not assigned
17,actor,gTLD,,,,,no,United TLD Holdco Ltd.
18,ad,ccTLD,,,,,no,Andorra Telecom
19,adac,gTLD,,,,,no,Allgemeiner Deutscher Automobil-Club e.V. (ADAC)
20,ads,gTLD,,,,,no,Charleston Road Registry Inc.
21,adult,gTLD,,,,,no,ICM Registry AD LLC
22,ae,ccTLD,,,,,no,Telecommunication Regulatory Authority (TRA)
23,aeg,gTLD,,,,,no,Aktiebolaget Electrolux
24,aero,sTLD,,,,,no,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
25,aetna,gTLD,,,,,no,Aetna Life Insurance Company
26,af,ccTLD,,,,,no,Ministry of Communications and IT
27,afamilycompany,gTLD,,,,,no,"Johnson Shareholdings, Inc."
28,afl,gTLD,,,,,no,Australian Football League
29,africa,gTLD,,,,,no,ZA Central Registry NPC trading as Registry.Africa
30,ag,ccTLD,,,,,no,UHSA School of Medicine
31,agakhan,gTLD,,,,,no,Fondation Aga Khan (Aga Khan Foundation)
32,agency,gTLD,,,,,no,"Binky Moon, LLC"
33,ai,ccTLD,,,,,no,Government of Anguilla
34,aig,gTLD,,,,,no,"American International Group, Inc."
35,aigo,gTLD,,,,,no,Not assigned
36,airbus,gTLD,,,,,no,Airbus S.A.S.
